ts_utc,p_poly,p_kalshi,spread_kalshi,W
2026-02-26 00:00:00+00:00,0.0105,0.455,0.010000000000000009,-0.4445
2026-02-26 00:01:00+00:00,0.0105,0.455,0.010000000000000009,-0.4445
2026-02-26 00:02:00+00:00,0.0105,0.455,0.010000000000000009,-0.4445
2026-02-26 00:03:00+00:00,0.0105,0.455,0.010000000000000009,-0.4445
2026-02-26 00:04:00+00:00,0.0105,0.455,0.010000000000000009,-0.4445
2026-02-26 00:05:00+00:00,0.0105,0.455,0.010000000000000009,-0.4445
2026-02-26 00:06:00+00:00,0.0105,0.455,0.010000000000000009,-0.4445
2026-02-26 00:07:00+00:00,0.0105,0.455,0.010000000000000009,-0.4445
2026-02-26 00:08:00+00:00,0.0105,0.455,0.010000000000000009,-0.4445
2026-02-26 00:09:00+00:00,0.0105,0.455,0.010000000000000009,-0.4445
2026-02-26 00:10:00+00:00,0.0105,0.455,0.010000000000000009,-0.4445
2026-02-26 00:11:00+00:00,0.0105,0.455,0.010000000000000009,-0.4445
2026-02-26 00:12:00+00:00,0.0105,0.455,0.010000000000000009,-0.4445
2026-02-26 00:13:00+00:00,0.0105,0.455,0.010000000000000009,-0.4445
2026-02-26 00:14:00+00:00,0.0105,0.455,0.010000000000000009,-0.4445
2026-02-26 00:15:00+00:00,0.0105,0.455,0.010000000000000009,-0.4445
2026-02-26 00:16:00+00:00,0.0105,0.455,0.010000000000000009,-0.4445
2026-02-26 00:17:00+00:00,0.0105,0.455,0.010000000000000009,-0.4445
2026-02-26 00:18:00+00:00,0.0105,0.455,0.010000000000000009,-0.4445
2026-02-26 00:19:00+00:00,0.0105,0.455,0.010000000000000009,-0.4445
2026-02-26 00:20:00+00:00,0.0105,0.455,0.010000000000000009,-0.4445
2026-02-26 00:21:00+00:00,0.0105,0.455,0.010000000000000009,-0.4445
2026-02-26 00:22:00+00:00,0.0105,0.455,0.010000000000000009,-0.4445
2026-02-26 00:23:00+00:00,0.0105,0.455,0.010000000000000009,-0.4445
